family,execution_mode,case_count,median_ratio,q1_ratio,q3_ratio
flat_valid,checked,4,1.162166386819309,1.155695386742865,1.1661768255294387
flat_valid,instrumented,4,1.1549459843523198,1.147442251009085,1.1683751310272006
flat_valid,trace_only,4,1.1284167500519844,1.1205208433147698,1.1338843665543648
flat_valid,counters_only,4,1.0080799409699144,1.0048640728306502,1.010739017640728
flat_valid,minimal,4,1.0,1.0,1.0
incremental_valid,checked,12,3.4346180087723246,2.2589390567953083,6.145553499403354
incremental_valid,instrumented,12,1.126464827306817,1.1118855808694263,1.133722281440812
incremental_valid,trace_only,12,1.1002064362132409,1.0861361293777425,1.1114301568105773
incremental_valid,counters_only,12,1.0160012864853494,1.0127837391114207,1.020464266942179
incremental_valid,minimal,12,1.0,1.0,1.0
nested_valid,checked,4,1.12123984872751,1.102070328409073,1.1339089926389367
nested_valid,instrumented,4,1.114707655163393,1.1023900137857472,1.1190237039653885
nested_valid,trace_only,4,1.095942646628524,1.0880592829440041,1.100206697727128
nested_valid,counters_only,4,1.0088323229846203,1.0031747591627935,1.0128061052172224
nested_valid,minimal,4,1.0,1.0,1.0
