n,execution_mode,case_count,median_ratio,q1_ratio,q3_ratio
32,checked,5,1.50995859282949,1.1466353714227229,1.7891742113555678
32,instrumented,5,1.1331634194544462,1.1215652376899234,1.142728809690761
32,trace_only,5,1.1114515856318827,1.1024386385151725,1.1251304981927186
32,counters_only,5,1.0140272681366773,1.0047105594415893,1.0267817260438525
32,minimal,5,1.0,1.0,1.0
64,checked,5,2.4875449138325454,1.1534504467456523,2.610521737137552
64,instrumented,5,1.128869910019826,1.1228264929076581,1.1565183338493097
64,trace_only,5,1.1114087279892717,1.1020090595900478,1.1227264528769973
64,counters_only,5,1.0172771654407147,1.010843480842154,1.019917301309334
64,minimal,5,1.0,1.0,1.0
128,checked,5,4.238853130016051,1.1367708641240961,4.294694343411031
128,instrumented,5,1.121856607811664,1.1171341971426858,1.1465595852336017
128,trace_only,5,1.0934991793305575,1.0906650512613285,1.1113423699227463
128,counters_only,5,1.0134874264312466,1.0065441406911186,1.0206768611530213
128,minimal,5,1.0,1.0,1.0
256,checked,5,7.98870335237988,1.1209948510278416,8.606836795295518
256,instrumented,5,1.0924930316347532,1.0753874772279504,1.1248937472581528
256,trace_only,5,1.082619386557451,1.0671514049223823,1.0998298037804786
256,counters_only,5,1.0073775867433028,1.0020203088286803,1.0136098378805989
256,minimal,5,1.0,1.0,1.0
