case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,relative_iqr,mean_time_ns,stdev_time_ns
flat_valid_n32_001,flat_valid,32,python_sort,20,291.0,250.0,292.0,42.0,0.14432989690721648,291.65,72.96089435624509
flat_valid_n32_001,flat_valid,32,simplified_jordan_reference,20,161624.5,160375.0,164937.0,4562.0,0.02822591871900609,166199.8,15214.0209142405
flat_valid_n32_001,flat_valid,32,simplified_jordan_paper_ordinary_list,20,412271.0,408646.0,414604.0,5958.0,0.014451659224151104,413366.6,7795.057498859538
incremental_valid_n32_001,incremental_valid,32,python_sort,20,833.0,792.0,834.0,42.0,0.05042016806722689,829.3,58.794109980686436
incremental_valid_n32_001,incremental_valid,32,simplified_jordan_reference,20,180562.5,179437.5,185937.5,6500.0,0.035998615437867774,182302.1,5682.7758960045685
incremental_valid_n32_001,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,565187.5,561604.0,569062.5,7458.5,0.013196505584429946,566800.05,9073.099380354515
incremental_valid_n32_002,incremental_valid,32,python_sort,20,834.0,833.0,875.0,42.0,0.050359712230215826,852.1,41.48290706962771
incremental_valid_n32_002,incremental_valid,32,simplified_jordan_reference,20,185042.0,183874.5,187104.0,3229.5,0.017452794500707948,186899.85,7190.718266407196
incremental_valid_n32_002,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,558854.5,553500.0,563646.0,10146.0,0.01815499383113136,560502.3,9244.267453258177
incremental_valid_n32_003,incremental_valid,32,python_sort,20,791.0,750.0,792.0,42.0,0.05309734513274336,779.1,38.28274312340525
incremental_valid_n32_003,incremental_valid,32,simplified_jordan_reference,20,179853.5,177583.0,181187.5,3604.5,0.020041311400667765,180472.8,5295.7894456475115
incremental_valid_n32_003,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,608916.5,602291.5,610625.0,8333.5,0.013685784504115096,608381.15,8647.376421569481
incremental_valid_n32_004,incremental_valid,32,python_sort,20,792.0,770.5,833.0,62.5,0.07891414141414141,793.85,39.46254053229667
incremental_valid_n32_004,incremental_valid,32,simplified_jordan_reference,20,183937.5,182041.5,186333.0,4291.5,0.023331294597349644,185591.55,6932.89645914014
incremental_valid_n32_004,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,601771.0,596313.0,609833.0,13520.0,0.022467018184658284,603175.15,12650.803969771208
incremental_valid_n32_005,incremental_valid,32,python_sort,20,750.0,709.0,791.5,82.5,0.11,756.3,56.09118515980545
incremental_valid_n32_005,incremental_valid,32,simplified_jordan_reference,20,179729.5,176354.0,180853.5,4499.5,0.025034844029499886,179668.75,3898.4009525499177
incremental_valid_n32_005,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,592375.0,589041.5,598916.5,9875.0,0.016670183583034397,594358.15,7236.86405096194
incremental_valid_n32_006,incremental_valid,32,python_sort,20,792.0,770.5,834.0,63.5,0.08017676767676768,823.05,105.44066677770165
incremental_valid_n32_006,incremental_valid,32,simplified_jordan_reference,20,183312.0,179667.0,187500.0,7833.0,0.042730426813301914,184006.25,5541.748183940744
incremental_valid_n32_006,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,603458.5,599187.5,611208.5,12021.0,0.019920176781004825,608697.95,16266.600248021938
incremental_valid_n32_007,incremental_valid,32,python_sort,20,791.0,750.0,833.0,83.0,0.10493046776232617,781.1,48.4441077835826
incremental_valid_n32_007,incremental_valid,32,simplified_jordan_reference,20,181646.0,178979.5,182458.0,3478.5,0.019149884941039166,181693.9,5580.554904496977
incremental_valid_n32_007,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,572458.5,569812.5,576708.0,6895.5,0.012045414645777816,575720.9,12887.994629437935
incremental_valid_n32_008,incremental_valid,32,python_sort,20,750.0,709.0,770.5,61.5,0.082,743.85,43.19755719214248
incremental_valid_n32_008,incremental_valid,32,simplified_jordan_reference,20,182771.0,179021.0,191104.5,12083.5,0.0661127859452539,184683.4,7306.0720845925935
incremental_valid_n32_008,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,581437.5,575916.5,587271.5,11355.0,0.019529184134150276,584279.3,13206.147448502115
incremental_valid_n32_009,incremental_valid,32,python_sort,20,791.0,750.0,812.5,62.5,0.07901390644753477,781.25,42.39770971967335
incremental_valid_n32_009,incremental_valid,32,simplified_jordan_reference,20,180708.5,179021.5,182437.5,3416.0,0.01890337200519068,181218.75,3939.0418134229976
incremental_valid_n32_009,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,617104.5,613396.0,624291.5,10895.5,0.01765584273004005,621543.85,17788.891383684546
incremental_valid_n32_010,incremental_valid,32,python_sort,20,750.0,729.5,791.0,61.5,0.082,754.15,40.33318471771953
incremental_valid_n32_010,incremental_valid,32,simplified_jordan_reference,20,178396.0,177208.5,180854.5,3646.0,0.020437677974842486,179779.45,5246.927486634439
incremental_valid_n32_010,incremental_valid,32,simplified_jordan_paper_ordinary_list,20,594167.0,588437.5,602479.0,14041.5,0.023632244806594777,595929.2,13430.835384137112
nested_valid_n32_001,nested_valid,32,python_sort,20,666.0,645.5,667.0,21.5,0.03228228228228228,676.9,55.42553088319688
nested_valid_n32_001,nested_valid,32,simplified_jordan_reference,20,184875.0,182000.0,185479.0,3479.0,0.01881812035158891,185608.4,6046.926103836821
nested_valid_n32_001,nested_valid,32,simplified_jordan_paper_ordinary_list,20,473958.5,471750.0,476479.5,4729.5,0.009978721765724214,476035.45,8590.84433369558
flat_valid_n64_001,flat_valid,64,python_sort,20,333.0,333.0,334.0,1.0,0.003003003003003003,329.3,26.667741206420757
flat_valid_n64_001,flat_valid,64,simplified_jordan_reference,20,518041.5,515541.5,523500.0,7958.5,0.01536266882093423,521395.8,11281.91869460062
flat_valid_n64_001,flat_valid,64,simplified_jordan_paper_ordinary_list,20,833541.5,831416.0,843104.5,11688.5,0.014022697130256861,837004.15,7021.303704666099
incremental_valid_n64_001,incremental_valid,64,python_sort,20,1458.0,1416.5,1500.0,83.5,0.05727023319615912,1589.5,360.9224293390479
incremental_valid_n64_001,incremental_valid,64,simplified_jordan_reference,20,591416.5,585083.5,600917.0,15833.5,0.02677216479418481,594881.25,11677.764615194756
incremental_valid_n64_001,incremental_valid,64,simplified_jordan_paper_ordinary_list,20,1332312.5,1319645.5,1348000.5,28355.0,0.02128254444809307,1341283.45,30404.450021380613
incremental_valid_n64_002,incremental_valid,64,python_sort,20,1500.0,1458.0,1541.5,83.5,0.05566666666666667,1539.6,225.7493719755792
incremental_valid_n64_002,incremental_valid,64,simplified_jordan_reference,20,588229.0,580916.0,598854.0,17938.0,0.030494926295711364,593216.65,17518.98933420833
incremental_valid_n64_002,incremental_valid,64,simplified_jordan_paper_ordinary_list,20,1316771.0,1309333.5,1329791.5,20458.0,0.015536490399621499,1321056.3,18784.77260722799
incremental_valid_n64_003,incremental_valid,64,python_sort,20,1458.0,1416.5,1500.0,83.5,0.05727023319615912,1458.2,46.784612855083026
