n,counter,case_count,counter_min,counter_max,runtime_spearman
32,paper_sibling_scan_checks,12,0.0,22.0,0.9190368738412182
32,paper_sibling_list_splits,12,0.0,17.0,0.9648126568294781
32,paper_split_items_copied,12,0.0,22.0,0.9190368738412182
32,paper_split_items_transferred,12,0.0,11.0,0.9190368738412182
32,paper_invariant_checks,12,30.0,30.0,
64,paper_sibling_scan_checks,12,0.0,51.0,0.6456180093567037
64,paper_sibling_list_splits,12,0.0,35.0,0.8415701641687784
64,paper_split_items_copied,12,0.0,51.0,0.6456180093567037
64,paper_split_items_transferred,12,0.0,31.0,0.597547848517906
64,paper_invariant_checks,12,62.0,62.0,
128,paper_sibling_scan_checks,12,0.0,85.0,0.41828349396253417
128,paper_sibling_list_splits,12,0.0,59.0,0.4288284559952031
128,paper_split_items_copied,12,0.0,85.0,0.41828349396253417
128,paper_split_items_transferred,12,0.0,38.0,0.25965072115432647
128,paper_invariant_checks,12,126.0,126.0,
256,paper_sibling_scan_checks,12,0.0,158.0,0.3263177982074643
256,paper_sibling_list_splits,12,0.0,112.0,0.3193002111492393
256,paper_split_items_copied,12,0.0,158.0,0.3263177982074643
256,paper_split_items_transferred,12,0.0,53.0,0.24868689626011292
256,paper_invariant_checks,12,254.0,254.0,
512,paper_sibling_scan_checks,12,0.0,304.0,0.416813248661316
512,paper_sibling_list_splits,12,0.0,217.0,0.2526331340961014
512,paper_split_items_copied,12,0.0,304.0,0.416813248661316
512,paper_split_items_transferred,12,0.0,73.0,0.28471397488206107
512,paper_invariant_checks,12,510.0,510.0,
