family,n,algorithm,case_count,median_case_time_ns,q1_case_time_ns,q3_case_time_ns,iqr_case_time_ns,median_relative_iqr,max_relative_iqr
,32,python_sort,12,791.0,750.0,792.0,42.0,0.07959533706215122,0.14432989690721648
,32,simplified_jordan_reference,12,181177.25,179791.5,183624.75,3833.25,0.021884486286096065,0.0661127859452539
,32,simplified_jordan_paper_ordinary_list,12,586906.25,562021.0,602614.75,40593.75,0.017163013156537225,0.023632244806594777
,64,python_sort,12,1416.75,1343.75,1458.0,114.25,0.05709876543209877,0.07923809523809523
,64,simplified_jordan_reference,12,585666.5,578145.5,590427.0,12281.5,0.014962852807243703,0.030494926295711364
,64,simplified_jordan_paper_ordinary_list,12,1282197.5,1216666.5,1301093.75,84427.25,0.01753931165933826,0.023483771549648463
,128,python_sort,12,2635.25,2510.5,2687.5,177.0,0.04807208271787297,0.125
,128,simplified_jordan_reference,12,2077958.75,2064239.25,2101000.0,36760.75,0.01137892384675684,0.021220713326369198
,128,simplified_jordan_paper_ordinary_list,12,2815083.25,2685208.0,2856625.25,171417.25,0.016896292876252647,0.02423295171346203
,256,python_sort,12,5208.25,4979.0,5250.0,271.0,0.04388042571028208,0.14839300244100895
,256,simplified_jordan_reference,12,7929645.75,7827333.0,7944979.25,117646.25,0.007415119718849821,0.013346091986625983
,256,simplified_jordan_paper_ordinary_list,12,6721249.75,6321073.0,6869426.75,548353.75,0.015209104216051109,0.021700447822653485
,512,python_sort,12,10583.5,10406.5,10833.5,427.0,0.08464832034713757,0.2519959355494266
,512,simplified_jordan_reference,12,33014458.25,32821250.25,33176656.25,355406.0,0.0037610573452273154,0.005368001840673268
,512,simplified_jordan_paper_ordinary_list,12,18716687.25,18261739.5,19135958.25,874218.75,0.01266871857754806,0.01889187607954306
