n,algorithm,case_count,nesting_density_spearman,max_depth_spearman,containment_pair_density_spearman
32,python_sort,12,0.21157358281436417,0.14882253255542557,0.3019924076928217
32,simplified_jordan_reference,12,0.74389001356746,0.8144727320475763,0.8951048951048951
32,simplified_jordan_paper_ordinary_list,12,0.09254134140073665,-0.2464851689091349,-0.23776223776223776
64,python_sort,12,-0.08761827923368437,-0.06405693950177936,0.09171432444451881
64,simplified_jordan_reference,12,0.36957024749317663,0.8853959782913162,0.9440559440559441
64,simplified_jordan_paper_ordinary_list,12,-0.003695702474931766,0.010582422051290633,0.11188811188811189
128,python_sort,12,0.49746204674220906,0.1481483785580436,0.15817443049003393
128,simplified_jordan_reference,12,0.5779224548718539,0.8561456211034548,0.9440559440559441
128,simplified_jordan_paper_ordinary_list,12,0.28896122743592695,0.4140376364352773,0.46853146853146854
256,python_sort,12,0.21327083663915597,0.11052631578947368,0.07705791151721808
256,simplified_jordan_reference,12,0.4439916991868325,0.8966738794730832,0.9790209790209791
256,simplified_jordan_paper_ordinary_list,12,0.11645683913097246,0.4483369397365416,0.5594405594405595
512,python_sort,12,0.28118379662665505,0.028070175438596492,-0.014010529366766925
512,simplified_jordan_reference,12,0.5038057699354522,0.9317002028900004,0.951048951048951
512,simplified_jordan_paper_ordinary_list,12,0.20871953325897305,0.3397553371440979,0.46153846153846156
