case_id,family,n,execution_mode,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,median_over_minimal_ratio,all_correct,error_count
flat_valid_n128_001,flat_valid,128,checked,15,2712375,2675792,2733875,58083,2723727.8666666667,58823.00689339973,1.159568214610164,True,0
flat_valid_n128_001,flat_valid,128,counters_only,15,2352917,2349208,2392417,43209,2371958.2666666666,42418.03012781015,1.005896221877839,True,0
flat_valid_n128_001,flat_valid,128,instrumented,15,2710667,2653625,2732667,79042,2711258.466666667,54004.74357983574,1.1588380270400256,True,0
flat_valid_n128_001,flat_valid,128,minimal,15,2339125,2299875,2377709,77834,2344336.2,44344.23340219753,1.0,True,0
flat_valid_n128_001,flat_valid,128,trace_only,15,2629791,2616625,2663833,47208,2643172.3333333335,43730.98606687199,1.1242627050713407,True,0
flat_valid_n256_001,flat_valid,256,checked,15,5710833,5678458,5777458,99000,5724086.066666666,84431.38442331794,1.1518225588755657,True,0
flat_valid_n256_001,flat_valid,256,counters_only,15,4977083,4950834,5084500,133666,5015075.066666666,93550.83137484033,1.0038319237834614,True,0
flat_valid_n256_001,flat_valid,256,instrumented,15,5671208,5632417,5750333,117916,5686563.866666666,84574.01734902027,1.143830560353556,True,0
flat_valid_n256_001,flat_valid,256,minimal,15,4958084,4907875,5036916,129041,4962113.933333334,73109.21452131605,1.0,True,0
flat_valid_n256_001,flat_valid,256,trace_only,15,5537084,5473916,5564667,90751,5544141.666666667,101229.21535707725,1.1167789815581988,True,0
flat_valid_n32_001,flat_valid,32,checked,15,633583,632166,639542,7376,636666.5333333333,9042.369520893346,1.1647645590284543,True,0
flat_valid_n32_001,flat_valid,32,counters_only,15,549541,548292,550834,2542,555805.6,23393.528127607064,1.01026366006199,True,0
flat_valid_n32_001,flat_valid,32,instrumented,15,626125,624250,645292,21042,635244.4,15082.827017126843,1.1510539416646137,True,0
flat_valid_n32_001,flat_valid,32,minimal,15,543958,541458,545708,4250,548683.2,13300.16376483495,1.0,True,0
flat_valid_n32_001,flat_valid,32,trace_only,15,617500,613542,640750,27208,631225.1333333333,27227.962824133225,1.1351979380761015,True,0
flat_valid_n64_001,flat_valid,64,checked,15,1310084,1304875,1326084,21209,1320677.8,34205.75627246719,1.167589092030423,True,0
flat_valid_n64_001,flat_valid,64,counters_only,15,1134625,1133042,1138125,5083,1138614.0666666667,12656.148322154768,1.011214375219466,True,0
flat_valid_n64_001,flat_valid,64,instrumented,15,1321667,1295583,1338875,43292,1327227.8666666667,43992.81043674988,1.1779122350143756,True,0
flat_valid_n64_001,flat_valid,64,minimal,15,1122042,1116583,1136250,19667,1136216.6666666667,30859.336398444815,1.0,True,0
flat_valid_n64_001,flat_valid,64,trace_only,15,1270792,1266333,1304167,37834,1286399.9333333333,34660.218061441374,1.132570795032628,True,0
incremental_valid_n128_001,incremental_valid,128,checked,15,15745916,15661708,15855334,193626,15723513.866666667,131848.2717422171,4.286985040395234,True,0
incremental_valid_n128_001,incremental_valid,128,counters_only,15,3755292,3745750,3799125,53375,3777536.2,77417.69818255845,1.0224162650376072,True,0
incremental_valid_n128_001,incremental_valid,128,instrumented,15,4166167,4113084,4277125,164041,4207102.666666667,126293.76815395053,1.1342811434271778,True,0
incremental_valid_n128_001,incremental_valid,128,minimal,15,3672958,3662083,3718625,56542,3709927.7333333334,99046.33237131764,1.0,True,0
incremental_valid_n128_001,incremental_valid,128,trace_only,15,4034458,4012958,4081667,68709,4055869.4,67701.70605130379,1.098422034774152,True,0
incremental_valid_n128_002,incremental_valid,128,checked,15,16518541,16464084,16535041,70957,16501361.066666666,104765.40465962625,4.302403646426828,True,0
incremental_valid_n128_002,incremental_valid,128,counters_only,15,3912083,3869417,4007750,138333,3934108.4,83975.80867709122,1.0189374572684355,True,0
incremental_valid_n128_002,incremental_valid,128,instrumented,15,4291708,4268084,4344250,76166,4322989,84167.89059374126,1.117814227576103,True,0
incremental_valid_n128_002,incremental_valid,128,minimal,15,3839375,3798000,3870458,72458,3854769.4,69743.143733478,1.0,True,0
incremental_valid_n128_002,incremental_valid,128,trace_only,15,4182583,4162209,4338458,176249,4224936.066666666,90622.23032809386,1.0893916327527267,True,0
incremental_valid_n128_003,incremental_valid,128,checked,15,15844833,15721375,15853291,131916,15798360.933333334,119480.3485763404,4.238853130016051,True,0
incremental_valid_n128_003,incremental_valid,128,counters_only,15,3788416,3770167,3839959,69792,3814136,75030.16615240261,1.0134874264312466,True,0
incremental_valid_n128_003,incremental_valid,128,instrumented,15,4193500,4171083,4219459,48376,4186949.933333333,61602.64103042831,1.121856607811664,True,0
incremental_valid_n128_003,incremental_valid,128,minimal,15,3738000,3680958,3831625,150667,3757863.7333333334,88452.34167090585,1.0,True,0
incremental_valid_n128_003,incremental_valid,128,trace_only,15,4081666,4058667,4091333,32666,4097536.2,69610.87608495016,1.0919384697699304,True,0
incremental_valid_n256_001,incremental_valid,256,checked,15,77012959,76649667,77190917,541250,76955347.4,420589.2986587476,8.427693094930305,True,0
incremental_valid_n256_001,incremental_valid,256,counters_only,15,9205500,9133208,9317167,183959,9213119.4,110723.96023109516,1.0073775867433028,True,0
incremental_valid_n256_001,incremental_valid,256,instrumented,15,9983292,9944917,10052333,107416,9988466.666666666,96148.34016074675,1.0924930316347532,True,0
incremental_valid_n256_001,incremental_valid,256,minimal,15,9138083,9034417,9242666,208249,9132030.6,109723.1920287203,1.0,True,0
incremental_valid_n256_001,incremental_valid,256,trace_only,15,9862542,9781792,9911958,130166,9839489,135417.81245463982,1.0792791004415259,True,0
incremental_valid_n256_002,incremental_valid,256,checked,15,85925791,83787708,87682875,3895167,85879158.33333333,2145825.5307042976,8.785980495660732,True,0
incremental_valid_n256_002,incremental_valid,256,counters_only,15,9781916,9472792,9897500,424708,9731111,302229.2178898091,1.0002086938738992,True,0
incremental_valid_n256_002,incremental_valid,256,instrumented,15,10356458,10255792,10705875,450083,10614588.8,763475.839592022,1.0589560705019236,True,0
