protocol_version,execution_id,case_id,case_index,family,n,seed,sequence_sha256,oracle_valid,oracle_reason,category,upper_interval_count,lower_interval_count,total_interval_count,upper_root_count,lower_root_count,upper_nesting_count,lower_nesting_count,nesting_count,nesting_density,parented_interval_ratio,upper_max_depth,lower_max_depth,max_depth,upper_containment_pair_count,lower_containment_pair_count,containment_pair_count,containment_pair_density,upper_crossing_pair_count,lower_crossing_pair_count,total_crossing_pair_count,audit_execution_mode,audit_passed,diagnostic_output_sha256,diagnostic_processed_count,diagnostic_trace_event_count,paper_predecessor_accesses,paper_successor_accesses,paper_boundary_pair_checks,paper_sibling_scan_checks,paper_sibling_lists_created,paper_sibling_list_insertions,paper_sibling_list_splits,paper_split_items_scanned,paper_split_items_copied,paper_split_items_transferred,paper_output_insertions,paper_z1_boundary_adjustments,paper_z1_output_anchor_adjustments,paper_invariant_checks,paper_trace_event_count
week11_pilot_v1,week11_pilot_v1__run003,flat_valid_n32_001,1,flat_valid,32,,4d459b563c403474d2f85cbb867d86fd52e6f44fff3cd9448aaa3ff4efb3f2b7,True,,strict_flat,16,15,31,16,15,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,checked,True,4d459b563c403474d2f85cbb867d86fd52e6f44fff3cd9448aaa3ff4efb3f2b7,32,205,29,29,29,0,0,29,0,0,0,0,29,0,0,30,205
week11_pilot_v1,week11_pilot_v1__run003,flat_valid_n64_001,2,flat_valid,64,,083f2c24bd07c07802ed045dbd299caf03100e9506df8a8cae0aac89a6a32511,True,,strict_flat,32,31,63,32,31,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,checked,True,083f2c24bd07c07802ed045dbd299caf03100e9506df8a8cae0aac89a6a32511,64,429,61,61,61,0,0,61,0,0,0,0,61,0,0,62,429
week11_pilot_v1,week11_pilot_v1__run003,flat_valid_n128_001,3,flat_valid,128,,f0d76dfdfbf5467a030817361d4cedd8ddc8e86a9b24ee55e7749eb72a658b53,True,,strict_flat,64,63,127,64,63,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,checked,True,f0d76dfdfbf5467a030817361d4cedd8ddc8e86a9b24ee55e7749eb72a658b53,128,877,125,125,125,0,0,125,0,0,0,0,125,0,0,126,877
week11_pilot_v1,week11_pilot_v1__run003,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,True,,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,checked,True,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,256,1773,253,253,253,0,0,253,0,0,0,0,253,0,0,254,1773
week11_pilot_v1,week11_pilot_v1__run003,flat_valid_n512_001,5,flat_valid,512,,cee2d84d07588bde247877928568e20c93ac99dfc7b4c4e8524423bbe6910632,True,,strict_flat,256,255,511,256,255,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,checked,True,cee2d84d07588bde247877928568e20c93ac99dfc7b4c4e8524423bbe6910632,512,3565,509,509,509,0,0,509,0,0,0,0,509,0,0,510,3565
week11_pilot_v1,week11_pilot_v1__run003,nested_valid_n32_001,6,nested_valid,32,,c4ce843cb915959f6acab25ba8a3acf43bee7a477a9a8b49500ec9d597b318f8,True,,nested_heavy_valid,16,15,31,1,1,15,14,29,0.9354838709677419,0.9354838709677419,15,14,15,120,105,225,1.0,0,0,0,checked,True,4d459b563c403474d2f85cbb867d86fd52e6f44fff3cd9448aaa3ff4efb3f2b7,32,205,29,29,58,0,29,0,0,0,0,0,29,0,0,30,205
week11_pilot_v1,week11_pilot_v1__run003,nested_valid_n64_001,7,nested_valid,64,,ea059a873c98f3c61b9df811763c08bfca2290d8372a4983505916ba09df8e37,True,,nested_heavy_valid,32,31,63,1,1,31,30,61,0.9682539682539683,0.9682539682539683,31,30,31,496,465,961,1.0,0,0,0,checked,True,083f2c24bd07c07802ed045dbd299caf03100e9506df8a8cae0aac89a6a32511,64,429,61,61,122,0,61,0,0,0,0,0,61,0,0,62,429
week11_pilot_v1,week11_pilot_v1__run003,nested_valid_n128_001,8,nested_valid,128,,c71b70903cdc8e2d30ba2b2cfe709cb50e8806c04c7946881d8134c6e9224fce,True,,nested_heavy_valid,64,63,127,1,1,63,62,125,0.984251968503937,0.984251968503937,63,62,63,2016,1953,3969,1.0,0,0,0,checked,True,f0d76dfdfbf5467a030817361d4cedd8ddc8e86a9b24ee55e7749eb72a658b53,128,877,125,125,250,0,125,0,0,0,0,0,125,0,0,126,877
week11_pilot_v1,week11_pilot_v1__run003,nested_valid_n256_001,9,nested_valid,256,,84b2d345819154bee03817aaa7addcfd1cdeb098f99c5604a315b7fa1582bdb4,True,,nested_heavy_valid,128,127,255,1,1,127,126,253,0.9921568627450981,0.9921568627450981,127,126,127,8128,8001,16129,1.0,0,0,0,checked,True,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,256,1773,253,253,506,0,253,0,0,0,0,0,253,0,0,254,1773
week11_pilot_v1,week11_pilot_v1__run003,nested_valid_n512_001,10,nested_valid,512,,35a4a942a09ff9692b8263b4cc8b108234482ec6116ddf1910887d380e54fc52,True,,nested_heavy_valid,256,255,511,1,1,255,254,509,0.9960861056751468,0.9960861056751468,255,254,255,32640,32385,65025,1.0,0,0,0,checked,True,cee2d84d07588bde247877928568e20c93ac99dfc7b4c4e8524423bbe6910632,512,3565,509,509,1018,0,509,0,0,0,0,0,509,0,0,510,3565
