case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,all_correct,error_count
flat_valid_n128_001,flat_valid,128,python_sort,10,479.0,458,500,42,499.8,59.00433129111041,True,0
flat_valid_n128_001,flat_valid,128,simplified_jordan_paper_ordinary_list,10,1730708.5,1722458,1750583,28125,1737925.1,20764.847167214542,True,0
flat_valid_n128_001,flat_valid,128,simplified_jordan_reference,10,1881979.0,1875959,1902417,26458,1890533.3,23837.842156490966,True,0
flat_valid_n256_001,flat_valid,256,python_sort,10,709.0,667,750,83,712.7,36.33195716048216,True,0
flat_valid_n256_001,flat_valid,256,simplified_jordan_paper_ordinary_list,10,3664542.0,3621167,3719166,97999,3666783.4,46173.812070864966,True,0
flat_valid_n256_001,flat_valid,256,simplified_jordan_reference,10,7144979.0,7135500,7153584,18084,7146058.2,21410.363003824936,True,0
flat_valid_n32_001,flat_valid,32,python_sort,10,291.5,291,292,1,287.4,23.57116882973774,True,0
flat_valid_n32_001,flat_valid,32,simplified_jordan_paper_ordinary_list,10,410166.5,404209,414083,9874,409791.7,6281.697170705099,True,0
flat_valid_n32_001,flat_valid,32,simplified_jordan_reference,10,160458.5,156417,161416,4999,161425,6875.925311468187,True,0
flat_valid_n512_001,flat_valid,512,python_sort,10,1395.5,1250,1625,375,1433.4,195.5778901387146,True,0
flat_valid_n512_001,flat_valid,512,simplified_jordan_paper_ordinary_list,10,8120666.5,8097791,8145166,47375,8121137.3,48616.658322590985,True,0
flat_valid_n512_001,flat_valid,512,simplified_jordan_reference,10,28965520.5,28929292,29021416,92124,28970150,74278.0257007414,True,0
flat_valid_n64_001,flat_valid,64,python_sort,10,375.0,375,417,42,404.2,73.86143182413343,True,0
flat_valid_n64_001,flat_valid,64,simplified_jordan_paper_ordinary_list,10,851604.5,845625,860292,14667,855720.9,14003.186553622556,True,0
flat_valid_n64_001,flat_valid,64,simplified_jordan_reference,10,527146.0,521041,536083,15042,527375,9459.98852477575,True,0
incremental_valid_n128_001,incremental_valid,128,python_sort,10,2687.5,2625,2792,167,2700,98.02153958300299,True,0
incremental_valid_n128_001,incremental_valid,128,simplified_jordan_paper_ordinary_list,10,2813291.0,2797625,2827500,29875,2815999.8,25134.830922668072,True,0
incremental_valid_n128_001,incremental_valid,128,simplified_jordan_reference,10,2077396.0,2067667,2089209,21542,2083950,26067.76112365617,True,0
incremental_valid_n128_002,incremental_valid,128,python_sort,10,2709.0,2708,2791,83,2745.8,74.45774342239734,True,0
incremental_valid_n128_002,incremental_valid,128,simplified_jordan_paper_ordinary_list,10,2876062.5,2856834,2915958,59124,2886354.2,38347.43845943298,True,0
incremental_valid_n128_002,incremental_valid,128,simplified_jordan_reference,10,2097542.0,2088625,2104208,15583,2098725.1,16866.13103530267,True,0
incremental_valid_n128_003,incremental_valid,128,python_sort,10,2812.5,2750,2875,125,2804.3,85.54667342061487,True,0
incremental_valid_n128_003,incremental_valid,128,simplified_jordan_paper_ordinary_list,10,2825146.0,2819500,2844250,24750,2832204.2,24507.413049932464,True,0
incremental_valid_n128_003,incremental_valid,128,simplified_jordan_reference,10,2073604.5,2068042,2108709,40667,2086975.2,26362.454399307277,True,0
incremental_valid_n128_004,incremental_valid,128,python_sort,10,2729.5,2667,2792,125,2729.3,79.19883556944228,True,0
incremental_valid_n128_004,incremental_valid,128,simplified_jordan_paper_ordinary_list,10,2904167.0,2894500,2911417,16917,2903000.2,16500.683210097697,True,0
incremental_valid_n128_004,incremental_valid,128,simplified_jordan_reference,10,2127146.0,2124667,2170125,45458,2138199.9,24744.990978871752,True,0
incremental_valid_n128_005,incremental_valid,128,python_sort,10,2833.0,2709,3583,874,3175,639.661542449512,True,0
incremental_valid_n128_005,incremental_valid,128,simplified_jordan_paper_ordinary_list,10,2748249.5,2723417,2787125,63708,2757962.6,46459.63158891575,True,0
incremental_valid_n128_005,incremental_valid,128,simplified_jordan_reference,10,2104666.5,2079416,2116583,37167,2119370.7,54679.12524304357,True,0
incremental_valid_n256_001,incremental_valid,256,python_sort,10,5271.0,5209,5375,166,5604.4,1102.2182885234465,True,0
incremental_valid_n256_001,incremental_valid,256,simplified_jordan_paper_ordinary_list,10,6827917.0,6755000,6876250,121250,6818641.8,75448.14046423617,True,0
incremental_valid_n256_001,incremental_valid,256,simplified_jordan_reference,10,7965854.0,7962500,7986875,24375,7971366.8,21572.035497632372,True,0
