family,n,algorithm,case_count,median_case_time_ns,q1_case_time_ns,q3_case_time_ns,iqr_case_time_ns,mean_case_time_ns,all_cases_correct,total_error_count
flat_valid,32,python_sort,1,291.5,291.5,291.5,0,291.5,True,0
flat_valid,32,simplified_jordan_paper_ordinary_list,1,410166.5,410166.5,410166.5,0,410166.5,True,0
flat_valid,32,simplified_jordan_reference,1,160458.5,160458.5,160458.5,0,160458.5,True,0
flat_valid,64,python_sort,1,375.0,375.0,375.0,0,375.0,True,0
flat_valid,64,simplified_jordan_paper_ordinary_list,1,851604.5,851604.5,851604.5,0,851604.5,True,0
flat_valid,64,simplified_jordan_reference,1,527146.0,527146.0,527146.0,0,527146.0,True,0
flat_valid,128,python_sort,1,479.0,479.0,479.0,0,479.0,True,0
flat_valid,128,simplified_jordan_paper_ordinary_list,1,1730708.5,1730708.5,1730708.5,0,1730708.5,True,0
flat_valid,128,simplified_jordan_reference,1,1881979.0,1881979.0,1881979.0,0,1881979.0,True,0
flat_valid,256,python_sort,1,709.0,709.0,709.0,0,709.0,True,0
flat_valid,256,simplified_jordan_paper_ordinary_list,1,3664542.0,3664542.0,3664542.0,0,3664542.0,True,0
flat_valid,256,simplified_jordan_reference,1,7144979.0,7144979.0,7144979.0,0,7144979.0,True,0
flat_valid,512,python_sort,1,1395.5,1395.5,1395.5,0,1395.5,True,0
flat_valid,512,simplified_jordan_paper_ordinary_list,1,8120666.5,8120666.5,8120666.5,0,8120666.5,True,0
flat_valid,512,simplified_jordan_reference,1,28965520.5,28965520.5,28965520.5,0,28965520.5,True,0
incremental_valid,32,python_sort,5,812.5,718.5,854.5,136.0,791.7,True,0
incremental_valid,32,simplified_jordan_paper_ordinary_list,5,571645.5,561219.0,614697.75,53478.75,584695.8,True,0
incremental_valid,32,simplified_jordan_reference,5,182042.0,178614.75,183771.0,5156.25,181362.7,True,0
incremental_valid,64,python_sort,5,1417.0,1312.5,1447.75,135.25,1387.5,True,0
incremental_valid,64,simplified_jordan_paper_ordinary_list,5,1298042.0,1241250.25,1306583.25,65333.0,1278741.8,True,0
incremental_valid,64,simplified_jordan_reference,5,585687.5,578573.0,590604.25,12031.25,584808.4,True,0
incremental_valid,128,python_sort,5,2729.5,2698.25,2822.75,124.5,2754.3,True,0
incremental_valid,128,simplified_jordan_paper_ordinary_list,5,2825146.0,2780770.25,2890114.75,109344.5,2833383.2,True,0
incremental_valid,128,simplified_jordan_reference,5,2097542.0,2075500.25,2115906.25,40406.0,2096071.0,True,0
incremental_valid,256,python_sort,5,5187.5,5020.75,5323.25,302.5,5175.1,True,0
incremental_valid,256,simplified_jordan_paper_ordinary_list,5,6686395.5,6367271.0,6830104.25,462833.25,6616229.2,True,0
incremental_valid,256,simplified_jordan_reference,5,7948854.5,7836229.25,7963448.0,127218.75,7909641.8,True,0
incremental_valid,512,python_sort,5,11208.0,10614.25,11520.75,906.5,11095.6,True,0
incremental_valid,512,simplified_jordan_paper_ordinary_list,5,18850583.5,18563291.75,19246187.25,682895.5,18893908.3,True,0
incremental_valid,512,simplified_jordan_reference,5,33270541.5,33033447.75,33277916.5,244468.75,33178654.0,True,0
nested_valid,32,python_sort,1,708.0,708.0,708.0,0,708.0,True,0
nested_valid,32,simplified_jordan_paper_ordinary_list,1,479937.5,479937.5,479937.5,0,479937.5,True,0
nested_valid,32,simplified_jordan_reference,1,185833.5,185833.5,185833.5,0,185833.5,True,0
nested_valid,64,python_sort,1,1167.0,1167.0,1167.0,0,1167.0,True,0
nested_valid,64,simplified_jordan_paper_ordinary_list,1,1057604.5,1057604.5,1057604.5,0,1057604.5,True,0
nested_valid,64,simplified_jordan_reference,1,612208.5,612208.5,612208.5,0,612208.5,True,0
nested_valid,128,python_sort,1,2333.0,2333.0,2333.0,0,2333.0,True,0
nested_valid,128,simplified_jordan_paper_ordinary_list,1,2481146.0,2481146.0,2481146.0,0,2481146.0,True,0
nested_valid,128,simplified_jordan_reference,1,2223688.0,2223688.0,2223688.0,0,2223688.0,True,0
nested_valid,256,python_sort,1,4771.0,4771.0,4771.0,0,4771.0,True,0
nested_valid,256,simplified_jordan_paper_ordinary_list,1,6289229.0,6289229.0,6289229.0,0,6289229.0,True,0
nested_valid,256,simplified_jordan_reference,1,8525250.0,8525250.0,8525250.0,0,8525250.0,True,0
nested_valid,512,python_sort,1,10583.5,10583.5,10583.5,0,10583.5,True,0
nested_valid,512,simplified_jordan_paper_ordinary_list,1,17892771.0,17892771.0,17892771.0,0,17892771.0,True,0
nested_valid,512,simplified_jordan_reference,1,34424645.5,34424645.5,34424645.5,0,34424645.5,True,0
