family,n,algorithm,case_count,median_case_time_ns,q1_case_time_ns,q3_case_time_ns,iqr_case_time_ns,mean_case_time_ns,all_cases_correct,total_error_count
flat_valid,32,python_sort,1,291.0,291.0,291.0,0,291.0,True,0
flat_valid,32,simplified_jordan_paper_ordinary_list,1,412271.0,412271.0,412271.0,0,412271.0,True,0
flat_valid,32,simplified_jordan_reference,1,161624.5,161624.5,161624.5,0,161624.5,True,0
flat_valid,64,python_sort,1,333.0,333.0,333.0,0,333.0,True,0
flat_valid,64,simplified_jordan_paper_ordinary_list,1,833541.5,833541.5,833541.5,0,833541.5,True,0
flat_valid,64,simplified_jordan_reference,1,518041.5,518041.5,518041.5,0,518041.5,True,0
flat_valid,128,python_sort,1,500.0,500.0,500.0,0,500.0,True,0
flat_valid,128,simplified_jordan_paper_ordinary_list,1,1731396.0,1731396.0,1731396.0,0,1731396.0,True,0
flat_valid,128,simplified_jordan_reference,1,1883896.0,1883896.0,1883896.0,0,1883896.0,True,0
flat_valid,256,python_sort,1,708.5,708.5,708.5,0,708.5,True,0
flat_valid,256,simplified_jordan_paper_ordinary_list,1,3628875.0,3628875.0,3628875.0,0,3628875.0,True,0
flat_valid,256,simplified_jordan_reference,1,7119667.0,7119667.0,7119667.0,0,7119667.0,True,0
flat_valid,512,python_sort,1,1250.0,1250.0,1250.0,0,1250.0,True,0
flat_valid,512,simplified_jordan_paper_ordinary_list,1,8109708.5,8109708.5,8109708.5,0,8109708.5,True,0
flat_valid,512,simplified_jordan_reference,1,28821146.0,28821146.0,28821146.0,0,28821146.0,True,0
incremental_valid,32,python_sort,10,791.0,750.0,792.0,42.0,787.4,True,0
incremental_valid,32,simplified_jordan_paper_ordinary_list,10,593271.0,572458.5,603458.5,31000.0,589573.05,True,0
incremental_valid,32,simplified_jordan_reference,10,181177.25,179853.5,183312.0,3458.5,181595.85,True,0
incremental_valid,64,python_sort,10,1417.0,1395.5,1458.0,62.5,1420.75,True,0
incremental_valid,64,simplified_jordan_paper_ordinary_list,10,1295885.0,1267291.5,1304312.5,37021.0,1281385.25,True,0
incremental_valid,64,simplified_jordan_reference,10,585666.5,578728.5,589437.5,10709.0,584781.15,True,0
incremental_valid,128,python_sort,10,2645.5,2625.0,2708.0,83.0,2647.8,True,0
incremental_valid,128,simplified_jordan_paper_ordinary_list,10,2836749.75,2781083.5,2862437.5,81354.0,2822560.3,True,0
incremental_valid,128,simplified_jordan_reference,10,2077958.75,2065249.5,2094062.5,28813.0,2081222.95,True,0
incremental_valid,256,python_sort,10,5219.0,5167.0,5250.0,83.0,5185.45,True,0
incremental_valid,256,simplified_jordan_paper_ordinary_list,10,6821114.5,6488562.0,6873416.5,384854.5,6732935.35,True,0
incremental_valid,256,simplified_jordan_reference,10,7929645.75,7842520.5,7943042.0,100521.5,7892995.75,True,0
incremental_valid,512,python_sort,10,10614.75,10583.0,10875.0,292.0,10727.2,True,0
incremental_valid,512,simplified_jordan_paper_ordinary_list,10,18794791.25,18508917.0,19158250.0,649333.0,18881979.1,True,0
incremental_valid,512,simplified_jordan_reference,10,33014458.25,32897396.0,33143020.5,245624.5,33021681.25,True,0
nested_valid,32,python_sort,1,666.0,666.0,666.0,0,666.0,True,0
nested_valid,32,simplified_jordan_paper_ordinary_list,1,473958.5,473958.5,473958.5,0,473958.5,True,0
nested_valid,32,simplified_jordan_reference,1,184875.0,184875.0,184875.0,0,184875.0,True,0
nested_valid,64,python_sort,1,1125.0,1125.0,1125.0,0,1125.0,True,0
nested_valid,64,simplified_jordan_paper_ordinary_list,1,1057979.5,1057979.5,1057979.5,0,1057979.5,True,0
nested_valid,64,simplified_jordan_reference,1,605250.0,605250.0,605250.0,0,605250.0,True,0
nested_valid,128,python_sort,1,2166.5,2166.5,2166.5,0,2166.5,True,0
nested_valid,128,simplified_jordan_paper_ordinary_list,1,2435645.5,2435645.5,2435645.5,0,2435645.5,True,0
nested_valid,128,simplified_jordan_reference,1,2215437.5,2215437.5,2215437.5,0,2215437.5,True,0
nested_valid,256,python_sort,1,4916.0,4916.0,4916.0,0,4916.0,True,0
nested_valid,256,simplified_jordan_paper_ordinary_list,1,6183083.5,6183083.5,6183083.5,0,6183083.5,True,0
nested_valid,256,simplified_jordan_reference,1,8507291.5,8507291.5,8507291.5,0,8507291.5,True,0
nested_valid,512,python_sort,1,10021.0,10021.0,10021.0,0,10021.0,True,0
nested_valid,512,simplified_jordan_paper_ordinary_list,1,18061416.5,18061416.5,18061416.5,0,18061416.5,True,0
nested_valid,512,simplified_jordan_reference,1,34370625.0,34370625.0,34370625.0,0,34370625.0,True,0
