protocol_version,execution_id,case_id,case_index,family,n,seed,sequence_sha256,case_execution_position,category,upper_interval_count,lower_interval_count,total_interval_count,upper_root_count,lower_root_count,upper_nesting_count,lower_nesting_count,nesting_count,nesting_density,parented_interval_ratio,upper_max_depth,lower_max_depth,max_depth,upper_containment_pair_count,lower_containment_pair_count,containment_pair_count,containment_pair_density,upper_crossing_pair_count,lower_crossing_pair_count,total_crossing_pair_count,algorithm,paper_execution_mode,audit_execution_mode,run_index,measured_round,algorithm_position,time_ns,oracle_valid,oracle_reason,output_correct,audit_passed,error
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,python_sort,minimal,checked,1,1,1,917,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,simplified_jordan_paper_ordinary_list,minimal,checked,1,1,2,3619875,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,simplified_jordan_reference,minimal,checked,1,1,3,7143125,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,simplified_jordan_paper_ordinary_list,minimal,checked,2,2,1,3626375,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,simplified_jordan_reference,minimal,checked,2,2,2,7096041,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,python_sort,minimal,checked,2,2,3,666,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,simplified_jordan_reference,minimal,checked,3,3,1,7105959,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,python_sort,minimal,checked,3,3,2,667,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,simplified_jordan_paper_ordinary_list,minimal,checked,3,3,3,3697666,True,,True,True,
week12_formal_sorting_v1,week12_formal_sorting_v1__run001,flat_valid_n256_001,4,flat_valid,256,,cd095f49e534e18d8cd5be896b1d644ec58567b1e334366b4baa24a10cade754,1,strict_flat,128,127,255,128,127,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,python_sort,minimal,checked,4,4,1,958,True,,True,True,
